firm_id,year,province,asset,type,area,staff,industry,age,profit,revenue,wage
300007.SZ,2010,41,593596193.6,0,4,408,38,12,126799838.6,173949445.7,56.65
300005.SZ,2010,11,626163065.4,0,1,481,27,11,119778753.4,434057101.3,168.71
002558.SZ,2010,50,262331876.4,0,4,792,39,13,186485900.8,253275354,54.09
002556.SZ,2010,34,2998058621,0,3,604,6,20,201611286,5551903161,402.07
002545.SZ,2010,37,1845657140,0,1,2975,12,14,60537269.47,1700827841,45.6
002542.SZ,2010,11,190452311.6,1,1,206,13,9,78791933.33,225155977.8,90.9
002541.SZ,2010,34,2448025594,0,3,1607,12,8,168356231.4,2625711959,33.95
002540.SZ,2010,32,829394513.1,0,1,1240,30,9,272827462.4,1136349044,195.06
002539.SZ,2010,51,2103422856,0,4,2183,48,15,277606307.1,2047417404,74.38
002534.SZ,2010,33,4145306922,0,1,2117,10,55,41235906.97,3309017593,188
002529.SZ,2010,36,1380836843,0,3,799,11,7,97636277.53,347929157.2,102.18
002527.SZ,2010,31,1329604825,0,1,724,11,15,54309739.54,501965498.3,194.8
002526.SZ,2010,37,2845479216,0,1,1835,11,11,161260753.7,1317310701,24.8
002523.SZ,2010,43,1409852672,1,4,878,11,11,216270368.3,605828765.2,137.09
002522.SZ,2010,33,1103081618,0,1,371,48,9,263671486.5,397028440.6,83.96
002521.SZ,2010,37,2559824901,0,1,1173,52,9,262518568.5,1353281415,92.3
002520.SZ,2010,33,891162635.1,0,1,298,11,10,308677793.4,265557122.1,40.68
002514.SZ,2010,32,620719019.6,0,1,648,11,9,11669413.63,267608156.6,88.8
002513.SZ,2010,32,1654839570,0,1,1340,48,20,2450157.7,914109253,92.56
002511.SZ,2010,44,3240668104,0,1,4510,54,11,19671821.06,1778866045,150
